Marque,Modèle,Prix,Kilométrage,Année,Carburant,Boite_de_vitesses
Peugeot,2008 Allure,31 500 DT,141 000 km,2014,Essence,Manuelle
BMW,Série 3 E90 restylé N45,51 500 DT,127 000 km,2012,Essence,Automatique
Renault,Kwid Populaire,36 500 DT,45 000 km,2022,Essence,Manuelle
Suzuki,Celerio,38 900 DT,45 000 km,2022,Essence,Manuelle
Mazda,CX-9,119 000 DT,70 000 km,2017,Essence,Automatique
Nissan,Micra,29 500 DT,120 000 km,2017,Essence,Manuelle
Fiat,Doblo,43 000 DT,30 000 km,2021,Diesel,Manuelle
Fiat,Ducato,45 000 DT,211 000 km,2012,Diesel,Manuelle
Volkswagen,Golf 8,85 000 DT,5 000 km,2021,Essence,Manuelle
Nissan,Qashqai,42 000 DT,279 000 km,2010,Diesel,Manuelle
Mazda,CX-9 Signature,104 000 DT,155 000 km,2019,Essence,Automatique
Ford,Fiesta Titanium,29 500 DT,223 000 km,2013,Essence,Manuelle
Mercedes-Benz,CLA AMG,144 900 DT,100 000 km,2020,Essence,Automatique
Inconnu,MG HS Trophy,90 000 DT,111 000 km,2022,Essence,Automatique
SsangYong,Tivoli,48 000 DT,235 000 km,2018,Essence,Automatique
Mahindra,KUV 100 K6+,32 500 DT,59 000 km,2022,Essence,Manuelle
Hyundai,H-1,18 000 DT,999 999 km,2006,Essence,Manuelle
Porsche,Panamera,450 000 DT,11 000 km,2019,Essence,Automatique
Hyundai,i20 High Grade,79 000 DT,21 000 km,2023,Essence,Automatique
Skoda,Rapid,55 000 DT,46 000 km,2019,Essence,Manuelle
Ford,Fiesta Titanium,31 900 DT,105 000 km,2012,Essence,Manuelle
Fiat,Panda City Cross,41 000 DT,70 000 km,2020,Essence,Manuelle
Great Wall,M4,39 500 DT,100 000 km,2018,Essence,Manuelle
Hyundai,Grand i10,42 000 DT,82 000 km,2022,Essence,Manuelle
Mercedes-Benz,Classe C,105 000 DT,172 000 km,2018,Essence,Automatique
Kia,Optima,40 000 DT,206 000 km,2012,Essence,Automatique
Kia,Rio Berline,44 500 DT,87 000 km,2017,Essence,Manuelle
Ford,Ranger Raptor,235 000 DT,57 000 km,2022,Diesel,Automatique
BMW,Série 5 Luxury,236 500 DT,58 000 km,2022,Hybride,Automatique
Citroën,C4,28 500 DT,195 000 km,2014,Essence,Manuelle
Hyundai,Tucson Hybride,120 000 DT,109 000 km,2021,Hybride,Automatique
Kia,Picanto,40 900 DT,111 000 km,2019,Essence,Automatique
Nissan,Juke,47 500 DT,125 000 km,2015,Essence,Automatique
Fiat,Siena,17 900 DT,300 000 km,2004,Essence,Manuelle
Seat,Leon SC,49 500 DT,70 000 km,2016,Essence,Manuelle
Jeep,Grand Cherokee,180 000 DT,132 000 km,2016,Essence,Automatique
Inconnu,MG ZS Luxe,65 000 DT,96 000 km,2020,Essence,Automatique
Audi,Q2,99 500 DT,78 000 km,2018,Essence,Automatique
Volkswagen,Polo,20 900 DT,144 000 km,2006,Essence,Manuelle
Citroën,C3,27 500 DT,192 000 km,2011,Essence,Manuelle
Volkswagen,Polo 8,44 900 DT,112 000 km,2021,Essence,Manuelle
Peugeot,301,25 500 DT,195 000 km,2018,Essence,Manuelle
Peugeot,208,39 000 DT,11 000 km,2020,Essence,Manuelle
Hyundai,H-1,23 000 DT,224 000 km,2002,Diesel,Manuelle
Peugeot,208,43 500 DT,37 000 km,2022,Essence,Manuelle
Mercedes-Benz,ML,80 000 DT,240 000 km,2009,Diesel,Automatique
Kia,Sportage,100 000 DT,143 000 km,2016,Diesel,Automatique
Chery,Tiggo 3X,54 500 DT,74 000 km,2022,Essence,Automatique
BMW,Série 3 F30 Pack Modern,61 500 DT,139 000 km,2012,Essence,Automatique
Chevrolet,Groove Premier,76 500 DT,6 500 km,2024,Essence,Automatique
Seat,Ibiza,77 500 DT,1 300 km,2024,Essence,Automatique
Inconnu,MG 5,70 000 DT,26 000 km,2022,Essence,Automatique
Seat,Ibiza,42 500 DT,124 000 km,2018,Essence,Manuelle
Citroën,C4,31 900 DT,199 000 km,2013,Essence,Manuelle
Land Rover,Range Rover Sport,79 000 DT,184 000 km,2008,Diesel,Automatique
Citroën,C3,27 500 DT,115 000 km,2011,Essence,Manuelle
Inconnu,MG 3,53 000 DT,12 000 km,2024,Essence,Manuelle
Hyundai,Autre H350 Solati,72 000 DT,26 000 km,2021,Diesel,Manuelle
Volkswagen,Caddy,68 000 DT,38 000 km,2022,Diesel,Manuelle
Mercedes-Benz,ML,38 000 DT,283 000 km,2006,Diesel,Automatique
Toyota,Prado,50 000 DT,330 000 km,2002,Diesel,Manuelle
Peugeot,207,27 500 DT,290 000 km,2011,Diesel,Manuelle
Seat,Leon,64 500 DT,159 000 km,2020,Essence,Manuelle
Mercedes-Benz,Classe A,56 000 DT,174 000 km,2014,Essence,Manuelle
Citroën,C4 Cactus,58 000 DT,146 000 km,2019,Diesel,Manuelle
Suzuki,Swift,37 000 DT,139 000 km,2018,Essence,Automatique
Land Rover,Range Rover Sport,81 000 DT,200 000 km,2009,Diesel,Automatique
